Abbott,Hanna,Hufflepuff
Bell,Kati,Gryffindor
Bones,Susa,Hufflepuff
Boot,Terr,Ravenclaw
Brown,Lavende,Gryffindor
Bulstrode,Millicen,Slytherin
Chang,Ch,Ravenclaw
Clearwater,Penelop,Ravenclaw
Crabbe,Vincen,Slytherin
Creevey,Coli,Gryffindor
Creevey,Denni,Gryffindor
Diggory,Cedri,Hufflepuff
Edgecombe,Mariett,Ravenclaw
Finch-Fletchley,Justi,Hufflepuff
Finnigan,Seamu,Gryffindor
Goldstein,Anthon,Ravenclaw
Goyle,Gregor,Slytherin
Granger,Hermion,Gryffindor
Johnson,Angelin,Gryffindor
Jordan,Le,Gryffindor
Longbottom,Nevill,Gryffindor
Lovegood,Lun,Ravenclaw
Lupin,Remu,Gryffindor
Malfoy,Drac,Slytherin
Malfoy,Scorpiu,Slytherin
Macmillan,Erni,Hufflepuff
McGonagall,Minerv,Gryffindor
Midgen,Elois,Gryffindor
McLaggen,Corma,Gryffindor
Montague,Graha,Slytherin
Nott,Theodor,Slytherin
Parkinson,Pans,Slytherin
Patil,Padm,Gryffindor
Patil,Parvat,Gryffindor
Potter,Harr,Gryffindor
Riddle,To,Slytherin
Robins,Demelz,Gryffindor
Scamander,New,Hufflepuff
Slughorn,Horac,Slytherin
Smith,Zacharia,Hufflepuff
Snape,Severu,Slytherin
Spinnet,Alici,Gryffindor
Sprout,Pomon,Hufflepuff
Thomas,Dea,Gryffindor
Vane,Romild,Gryffindor
Warren,Myrtl,Ravenclaw
Weasley,Fre,Gryffindor
Weasley,Georg,Gryffindor
Weasley,Ginn,Gryffindor
Weasley,Perc,Gryffindor
Weasley,Ro,Gryffindor
Wood,Olive,Gryffindor
Zabini,Blais,Slytherin
